region,no_of_trainings,previous_year_rating,length_of_service,avg_training_score,is_promoted,Female,Male,awards_0,awards_1,KPI_0,KPI_1,qualification
1,1,2.0,8,48,0,0,1,1,0,1,0,0.09083552783796071
1,2,3.0,2,60,0,0,1,1,0,0,1,0.08008528533218708
2,1,1.0,4,55,0,0,1,1,0,1,0,0.08336898216801007
0,1,3.0,3,46,0,1,0,1,0,1,0,0.08335418998805504
1,1,3.0,3,63,0,0,1,1,0,0,1,0.08606444222280558
0,1,2.0,2,53,0,0,1,1,0,1,0,0.08333616313306043
2,1,5.0,7,78,1,0,1,1,0,0,1,0.09516579122272428
1,1,4.0,17,69,0,1,0,1,0,0,1,0.08848578461061866
2,1,5.0,2,49,0,0,1,1,0,0,1,0.08335431195727705
2,2,3.0,2,85,0,0,1,1,0,1,0,0.09232469480982679
2,1,4.0,7,53,0,0,1,1,0,1,0,0.0833318996977254
1,1,5.0,4,53,0,0,1,1,0,1,0,0.09075272441635047
2,1,3.0,7,69,0,0,1,1,0,1,0,0.09026853380592648
1,1,3.0,8,59,0,1,0,1,0,1,0,0.08793007994560753
2,1,1.0,6,61,0,0,1,1,0,0,1,0.08791107249428114
0,1,4.0,4,70,0,0,1,1,0,1,0,0.08841886198799305
1,1,3.0,4,84,0,0,1,1,0,1,0,0.09224997014496295
1,1,4.0,5,69,0,1,0,1,0,0,1,0.09019602905356057
1,1,2.0,5,78,0,0,1,1,0,1,0,0.09719269190041448
1,1,5.0,3,46,0,0,1,1,0,1,0,0.08325662142115799
0,1,1.0,6,51,0,0,1,1,0,1,0,0.0814465894525058
0,1,4.0,4,87,0,0,1,1,0,1,0,0.09038664565016002
2,1,3.0,17,50,0,0,1,1,0,1,0,0.08322828749888174
2,1,3.0,2,50,0,0,1,1,0,1,0,0.08141179334279786
2,1,4.0,7,61,0,1,0,1,0,0,1,0.0860338574552308
2,1,4.0,5,50,0,0,1,1,0,1,0,0.08885586935440853
2,1,3.0,8,63,1,1,0,1,0,0,1,0.09346777360632628
1,1,1.0,3,83,0,0,1,1,0,1,0,0.09214120874037868
2,3,5.0,3,52,0,0,1,1,0,1,0,0.08318525634848044
2,1,3.0,3,69,0,0,1,1,0,0,1,0.09591108532736765
1,1,3.0,3,70,0,0,1,1,0,1,0,0.08834217891188482
2,1,1.0,9,50,0,1,0,1,0,1,0,0.09070553576232894
2,1,5.0,4,50,0,0,1,1,0,0,1,0.08139821977490497
1,1,3.0,13,72,0,0,1,1,0,1,0,0.09760090369935258
0,1,3.0,2,49,0,1,0,1,0,0,1,0.08138246875336679
1,1,3.0,17,82,0,0,1,1,0,1,0,0.10462654079860333
0,1,4.0,3,47,0,1,0,1,0,1,0,0.07651762491829371
1,1,4.0,5,64,0,1,0,1,0,0,1,0.09003412907874848
1,1,4.0,3,59,0,0,1,1,0,1,0,0.09365442652184659
1,1,1.0,3,63,0,1,0,1,0,1,0,0.08611394350748729
1,1,3.0,1,59,0,1,0,1,0,0,1,0.08609391944575791
2,1,2.0,5,81,0,0,1,1,0,1,0,0.09028010638776114
1,1,5.0,4,74,0,1,0,1,0,0,1,0.09573939462634233
1,1,3.0,7,47,0,0,1,1,0,1,0,0.08131811130086188
1,2,1.0,4,86,0,0,1,1,0,1,0,0.09022868360613955
2,1,5.0,4,80,0,0,1,1,0,0,1,0.09019135632148607
2,1,5.0,4,49,0,0,1,1,0,1,0,0.08128513810255827
2,1,3.0,6,58,0,1,0,1,0,1,0,0.08783479902148521
1,1,3.0,7,76,0,0,1,1,0,1,0,0.08815282924558525
1,1,3.0,5,46,0,0,1,1,0,1,0,0.0781965650370654
1,1,2.0,6,50,0,1,0,1,0,1,0,0.0830604699539533
2,1,3.0,2,84,0,0,1,1,0,1,0,0.091928911393373
2,3,5.0,5,56,0,1,0,1,0,0,1,0.08778986013457339
2,1,5.0,10,49,0,0,1,1,0,0,1,0.08878489622011286
0,1,3.0,8,65,0,0,1,1,0,1,0,0.09530904107247118
2,1,3.0,4,49,0,0,1,1,0,1,0,0.08301918519552304
1,1,4.0,8,59,0,1,0,1,0,0,1,0.09349017646232781
2,2,3.0,3,64,1,1,0,1,0,0,1,0.08594123178817663
2,1,4.0,8,58,0,0,1,1,0,1,0,0.08174404054833416
2,1,4.0,8,52,0,0,1,1,0,0,1,0.08614552960048587
2,1,3.0,20,82,0,0,1,1,0,1,0,0.09527332310808316
0,2,1.0,7,50,0,0,1,1,0,1,0,0.08128297982736563
2,3,5.0,2,85,0,0,1,1,0,0,1,0.10065467881144002
1,2,3.0,10,45,0,0,1,1,0,1,0,0.08126407844786716
2,1,4.0,6,84,0,0,1,1,0,0,1,0.10272760076321164
1,1,3.0,12,58,0,1,0,1,0,0,1,0.08609108447617697
1,2,3.0,5,61,0,0,1,1,0,1,0,0.09357157687599532
1,1,3.0,4,68,0,0,1,1,0,0,1,0.09739366872876193
1,1,3.0,12,80,0,0,1,1,0,1,0,0.10442723993399534
1,1,3.0,2,52,0,1,0,1,0,1,0,0.0829908084924003
2,1,1.0,4,79,0,0,1,1,0,1,0,0.10262899668229743
1,1,2.0,8,59,0,0,1,1,0,1,0,0.06779930185233159
2,2,5.0,6,48,0,0,1,1,0,1,0,0.08296860140066233
2,1,5.0,7,72,0,0,1,1,0,0,1,0.09557125657408709
0,2,5.0,5,64,0,1,0,1,0,0,1,0.086033959749769
2,1,2.0,4,51,0,0,1,1,0,1,0,0.08295076253229124
0,2,3.0,7,81,0,0,1,1,0,1,0,0.09181156436343041
1,1,3.0,10,78,0,1,0,1,0,1,0,0.1054911233592052
1,1,3.0,15,64,1,0,1,1,0,1,0,0.0904027805353048
2,1,5.0,4,49,1,1,0,1,0,0,1,0.09060980907955657
1,1,5.0,5,48,0,0,1,1,0,1,0,0.08318329985815189
0,1,3.0,6,81,0,0,1,1,0,1,0,0.09690752350067437
1,1,3.0,2,62,0,1,0,1,0,1,0,0.09547283906972638
2,1,3.0,10,59,0,0,1,1,0,1,0,0.08168730969378625
1,1,3.0,2,63,0,1,0,1,0,1,0,0.08780972146104915
1,1,3.0,5,61,0,0,1,1,0,0,1,0.08596890301926274
1,1,4.0,5,82,0,0,1,0,1,0,1,0.08999469551722694
1,1,5.0,2,61,1,0,1,1,0,1,0,0.09155235538707433
0,1,5.0,9,47,0,0,1,1,0,1,0,0.0908637943643444
1,1,3.0,17,48,0,0,1,1,0,1,0,0.08141637851511946
2,2,1.0,7,79,0,1,0,1,0,1,0,0.10448121802561505
2,1,4.0,3,71,0,1,0,1,0,0,1,0.08988151508387172
2,1,3.0,3,69,0,1,0,1,0,0,1,0.08802981879360881
1,1,5.0,12,50,0,0,1,1,0,1,0,0.08321926780069654
1,1,3.0,7,51,0,0,1,1,0,0,1,0.07630016741291289
1,1,1.0,2,83,0,1,0,1,0,1,0,0.09499936967764107
1,1,3.0,7,69,0,0,1,1,0,1,0,0.09559036717861409
0,1,3.0,9,85,0,0,1,1,0,1,0,0.08994747616029508
1,1,2.0,3,51,0,0,1,1,0,1,0,0.08319499442274035
1,1,1.0,7,51,0,1,0,1,0,1,0,0.08383545202787623
1,1,4.0,12,57,0,1,0,1,0,0,1,0.0953584062575877
1,1,3.0,4,62,0,1,0,1,0,1,0,0.08978432171632028
0,1,2.0,9,48,0,0,1,1,0,1,0,0.08891951009239375
1,1,3.0,2,57,0,1,0,1,0,1,0,0.08589322404105697
2,1,3.0,14,71,0,0,1,1,0,1,0,0.0973394891717293
1,1,3.0,3,50,0,0,1,1,0,1,0,0.08888349555187836
0,1,5.0,2,49,0,0,1,1,0,1,0,0.08129514393596211
2,1,5.0,5,57,0,1,0,1,0,0,1,0.08585944082255435
2,1,4.0,2,55,0,0,1,1,0,0,1,0.09527506344396529
1,1,4.0,4,59,0,1,0,1,0,0,1,0.09339243007127312
1,4,1.0,5,47,0,0,1,1,0,1,0,0.08312885757323829
2,1,3.0,5,60,0,0,1,1,0,1,0,0.08727109556682089
2,1,5.0,4,48,0,0,1,1,0,0,1,0.08879912172023248
1,1,5.0,7,47,0,0,1,1,0,1,0,0.08123752060371535
1,1,4.0,3,50,0,1,0,1,0,1,0,0.07799557286814339
1,1,4.0,9,60,0,1,0,1,0,1,0,0.09520315255440487
2,1,4.0,6,60,0,0,1,1,0,0,1,0.07964580963921057
0,1,5.0,4,63,0,0,1,1,0,0,1,0.08576622153509185
2,2,3.0,5,50,0,0,1,1,0,1,0,0.08307859333010505
1,1,1.0,3,52,0,1,0,1,0,1,0,0.0830639819516405
2,1,4.0,13,82,0,0,1,1,0,0,1,0.10240158347092314
0,1,3.0,4,68,0,1,0,1,0,1,0,0.08967625959840501
1,1,4.0,10,69,0,1,0,1,0,1,0,0.08964969942174832
2,1,3.0,3,87,0,0,1,1,0,0,1,0.07553818051795282
2,1,5.0,4,47,0,0,1,1,0,1,0,0.08116083266266859
1,1,4.0,5,60,0,1,0,1,0,0,1,0.09326516062118421
1,2,4.0,18,59,0,1,0,1,0,1,0,0.08708864239422502
1,2,1.0,9,55,0,1,0,1,0,1,0,0.08757562208205588
1,1,3.0,6,58,0,1,0,1,0,1,0,0.08567489285728391
2,1,5.0,12,47,0,0,1,1,0,1,0,0.08112285763759693
1,1,3.0,7,66,0,1,0,1,0,1,0,0.09525563078606802
1,1,5.0,3,85,0,0,1,1,0,1,0,0.09727917148607777
1,1,1.0,6,79,0,0,1,1,0,1,0,0.10418878184872216
1,1,2.0,4,50,0,0,1,1,0,1,0,0.0810966232764252
1,2,2.0,18,52,0,1,0,1,0,1,0,0.08108105385023572
1,1,3.0,5,78,0,0,1,1,0,1,0,0.09662799464146876
1,2,3.0,5,61,0,0,1,1,0,1,0,0.08752100456916277
0,1,4.0,5,59,0,1,0,1,0,1,0,0.08750225745891528
1,1,5.0,4,60,0,0,1,1,0,1,0,0.09501769950487225
1,1,4.0,4,72,0,0,1,1,0,0,1,0.09517919443739636
0,1,4.0,3,53,0,0,1,1,0,0,1,0.0904643013971212
1,2,4.0,5,60,0,0,1,1,0,1,0,0.07943140316043067
2,1,4.0,6,61,0,1,0,1,0,1,0,0.09714706034300523
1,1,3.0,7,48,0,0,1,1,0,1,0,0.0759439557748938
1,1,4.0,6,47,0,1,0,1,0,0,1,0.07780339078353495
1,2,3.0,6,68,0,0,1,1,0,1,0,0.09702576975053938
1,1,1.0,10,86,0,0,1,1,0,1,0,0.0915491002084063
1,1,5.0,9,73,0,1,0,1,0,0,1,0.09654511096559099
1,1,3.0,7,79,0,0,1,1,0,1,0,0.10214548363891483
2,1,2.0,6,53,0,0,1,1,0,1,0,0.08290039672005098
1,1,3.0,8,49,0,0,1,1,0,1,0,0.08288584619547561
0,1,4.0,2,82,0,0,1,1,0,0,1,0.09647715118001605
1,1,3.0,6,47,0,1,0,1,0,0,1,0.08286380139375911
1,1,4.0,2,68,0,1,0,1,0,0,1,0.08943765729698687
1,1,5.0,10,57,0,0,1,1,0,0,1,0.09303233065355682
2,1,3.0,6,75,0,0,1,1,0,1,0,0.09692628426488797
0,2,1.0,6,51,0,0,1,1,0,1,0,0.08096619989628004
2,1,4.0,3,51,0,0,1,1,0,0,1,0.08095067967400357
2,1,2.0,3,86,0,0,1,1,0,1,0,0.0914575953134966
2,1,4.0,7,53,0,0,1,1,0,1,0,0.09032510067956583
0,1,3.0,7,53,0,0,1,1,0,0,1,0.08092496514479092
2,1,1.0,3,50,0,0,1,1,0,1,0,0.08278800269160277
1,1,4.0,4,76,0,0,1,1,0,1,0,0.09452461037397565
1,1,3.0,4,56,0,0,1,1,0,0,1,0.08733103853886325
1,1,5.0,4,62,0,0,1,1,0,0,1,0.08731236834688609
2,1,5.0,4,57,0,0,1,1,0,1,0,0.0808844542497996
1,1,5.0,6,49,0,0,1,1,0,1,0,0.09027075881310365
1,4,3.0,4,69,0,0,1,1,0,1,0,0.08933359662804174
2,1,3.0,16,80,0,0,1,1,0,0,1,0.09634307825827226
2,1,5.0,9,64,0,0,1,1,0,0,1,0.09479420151524948
2,1,3.0,13,69,0,0,1,1,0,1,0,0.08743649666501703
1,4,2.0,4,50,0,0,1,1,0,1,0,0.0827114180435699
1,1,3.0,3,63,0,0,1,1,0,1,0,0.0792580052762741
2,2,4.0,6,81,0,1,0,1,0,0,1,0.09442959802703949
1,1,4.0,3,51,0,0,1,1,0,1,0,0.08082005254628279
1,1,5.0,7,80,0,1,0,1,0,0,1,0.0943900728735149
0,1,1.0,6,83,0,1,0,1,0,1,0,0.09133867040736195
1,3,3.0,4,74,0,0,1,1,0,1,0,0.10585267429915822
2,1,3.0,2,50,0,0,1,1,0,1,0,0.08078980980893698
1,2,3.0,8,84,0,0,1,1,0,1,0,0.0894145261164891
1,2,3.0,2,68,0,0,1,1,0,0,1,0.08923636431045763
0,1,5.0,10,61,0,1,0,1,0,1,0,0.0872080811274794
0,1,3.0,4,62,0,1,0,1,0,0,1,0.09474135661525289
1,2,1.0,4,69,0,1,0,1,0,1,0,0.08919831106564731
1,1,4.0,4,84,0,0,1,1,0,1,0,0.09123862384566454
1,2,3.0,2,51,0,1,0,1,0,1,0,0.08261918045593357
2,1,3.0,8,48,1,0,1,1,0,0,1,0.08260472948464744
1,1,3.0,4,68,0,0,1,1,0,0,1,0.09484791508738488
1,2,3.0,4,63,0,0,1,1,0,1,0,0.08921746939239532
1,1,5.0,5,60,0,0,1,1,0,1,0,0.08667932368975932
2,1,3.0,4,60,1,1,0,1,0,0,1,0.09281388712286866
1,1,5.0,9,49,0,0,1,1,0,1,0,0.09034005422018739
2,2,4.0,7,74,0,0,1,1,0,0,1,0.09675724858701501
2,1,2.0,5,48,0,1,0,1,0,1,0,0.08274514910214599
1,1,3.0,6,58,0,1,0,1,0,1,0,0.0948841564283401
2,2,3.0,10,55,0,1,0,1,0,1,0,0.09028188274326525
1,1,5.0,10,49,0,1,0,1,0,1,0,0.0827150823082957
1,1,5.0,5,47,0,0,1,1,0,1,0,0.08087241361525366
0,1,5.0,5,52,0,0,1,1,0,1,0,0.08269047091758973
1,1,4.0,12,70,0,1,0,1,0,0,1,0.08912979594953442
2,1,3.0,7,58,0,0,1,1,0,0,1,0.09300862774121459
1,1,4.0,5,60,0,1,0,0,1,0,1,0.08543301124636161
2,1,1.0,2,55,0,0,1,1,0,1,0,0.08266542175713698
2,1,4.0,7,62,0,0,1,1,0,1,0,0.08541024800604342
1,1,4.0,7,60,0,0,1,1,0,0,1,0.08539065126400931
1,1,5.0,3,71,0,0,1,1,0,0,1,0.09664952349401705
1,1,3.0,9,81,0,0,1,1,0,1,0,0.10187571631736675
2,1,5.0,2,89,0,0,1,1,0,0,1,0.09119586924789769
1,1,3.0,4,79,0,0,1,1,0,1,0,0.09612939803806952
2,2,4.0,2,57,0,0,1,1,0,0,1,0.08094443809366263
1,1,5.0,6,50,0,0,1,1,0,0,1,0.07569142589864905
1,1,3.0,3,48,0,0,1,1,0,1,0,0.08261491964887485
2,3,3.0,8,55,0,0,1,1,0,1,0,0.08833022790725326
2,1,5.0,4,78,0,0,1,1,0,0,1,0.09608143480382327
2,1,4.0,2,77,0,0,1,1,0,0,1,0.09421963119435679
2,2,2.0,4,84,1,0,1,1,0,0,1,0.08928712570810932
1,2,3.0,2,56,0,0,1,1,0,1,0,0.08261852405627029
1,1,1.0,8,62,0,1,0,1,0,1,0,0.08719322387566447
2,1,4.0,8,65,1,0,1,1,0,1,0,0.08259667929099389
1,1,1.0,7,50,0,0,1,1,0,1,0,0.09025282623972637
1,1,1.0,7,61,0,1,0,1,0,1,0,0.08724927902533874
1,1,3.0,2,80,0,1,0,1,0,0,1,0.09611384182715758
1,1,5.0,3,73,0,0,1,1,0,1,0,0.09478932162583924
1,1,1.0,2,82,0,1,0,1,0,1,0,0.09608398188054545
0,1,3.0,4,61,0,0,1,1,0,1,0,0.08721583898288003
2,1,4.0,3,86,0,0,1,1,0,1,0,0.09143621447698112
1,1,1.0,8,50,0,0,1,1,0,1,0,0.08091694743084363
1,1,4.0,17,71,0,1,0,1,0,1,0,0.09475113677760771
2,1,5.0,8,66,0,0,1,1,0,0,1,0.08903796259517993
2,1,5.0,3,49,0,0,1,1,0,0,1,0.09018202282859498
1,1,3.0,2,58,0,0,1,1,0,1,0,0.06557125344120533
2,1,3.0,4,58,0,0,1,1,0,1,0,0.065518363567192
1,2,1.0,4,55,0,0,1,1,0,1,0,0.08086925532620308
2,1,4.0,3,88,0,0,1,1,0,1,0,0.09886509968221592
2,1,5.0,3,47,0,0,1,1,0,1,0,0.08833375100276204
1,2,3.0,5,63,0,0,1,1,0,1,0,0.08716127957666098
2,1,4.0,14,83,0,0,1,1,0,1,0,0.10166854061782842
0,1,4.0,3,86,0,0,1,1,0,1,0,0.09880158905080137
2,1,4.0,6,48,0,0,1,1,0,1,0,0.08264304855868213
1,1,5.0,7,51,0,0,1,1,0,0,1,0.0900880757136795
2,3,3.0,3,77,0,0,1,1,0,0,1,0.09596495844835702
2,1,4.0,4,69,0,0,1,1,0,1,0,0.09641676504871088
1,1,5.0,5,50,0,0,1,1,0,0,1,0.08260572573085816
1,1,4.0,10,47,0,1,0,1,0,1,0,0.08489949820113137
1,1,4.0,6,51,0,0,1,1,0,1,0,0.08080282520755505
1,1,4.0,7,88,1,0,1,1,0,1,0,0.0871358947228999
2,1,4.0,17,48,0,0,1,1,0,1,0,0.08261247846297574
2,1,1.0,3,51,0,1,0,1,0,1,0,0.0900078667889443
2,1,1.0,10,85,0,0,1,1,0,1,0,0.09128963227059371
2,1,1.0,13,79,0,0,1,1,0,1,0,0.10333654051103457
2,1,3.0,2,77,0,1,0,1,0,1,0,0.09590595155238785
2,1,5.0,2,60,1,0,1,1,0,0,1,0.06550908666801605
1,2,3.0,12,54,0,0,1,1,0,1,0,0.08260329838742174
1,3,3.0,7,80,0,0,1,1,0,1,0,0.08962080536058148
1,1,2.0,7,80,0,0,1,1,0,1,0,0.09590118707283385
0,1,5.0,5,97,1,1,0,0,1,0,1,0.08480314101057836
1,1,3.0,16,50,0,0,1,1,0,1,0,0.08092760526480426
1,1,1.0,2,47,0,0,1,1,0,1,0,0.0826114825260401
1,1,4.0,6,50,0,0,1,1,0,1,0,0.08090213338585667
2,2,3.0,7,56,0,0,1,1,0,1,0,0.08715206483713452
1,1,5.0,2,56,0,0,1,1,0,0,1,0.0854375373423822
2,2,3.0,5,53,0,0,1,1,0,1,0,0.09004137503978676
2,1,3.0,2,73,0,0,1,1,0,1,0,0.08744102619243987
2,1,5.0,4,55,0,0,1,1,0,0,1,0.08256215306660641
1,1,4.0,6,49,0,0,1,1,0,1,0,0.08831201788865876
1,2,3.0,7,59,0,0,1,1,0,1,0,0.08662839015507529
1,1,2.0,3,81,0,1,0,1,0,0,1,0.10332011196992626
2,1,5.0,3,94,1,1,0,1,0,0,1,0.09414481239315146
1,1,3.0,4,48,0,0,1,1,0,1,0,0.08257207284449876
2,1,2.0,13,53,0,0,1,1,0,1,0,0.08831790779567593
2,1,5.0,3,82,0,0,1,1,0,0,1,0.10344026227787784
1,1,2.0,7,78,0,0,1,1,0,0,1,0.10558864114747712
2,1,5.0,9,88,0,0,1,1,0,0,1,0.0986411290187672
1,1,2.0,28,53,0,0,1,1,0,1,0,0.08991890929018449
1,1,5.0,3,51,0,0,1,1,0,1,0,0.09195096220296058
2,2,3.0,7,45,0,0,1,1,0,1,0,0.07798409559455122
2,2,5.0,5,82,0,0,1,1,0,1,0,0.0912054736702188
1,3,5.0,13,79,0,0,1,1,0,0,1,0.09692331550309774
1,2,4.0,3,58,0,0,1,1,0,1,0,0.0870944652424203
1,1,5.0,5,85,1,0,1,1,0,1,0,0.09688126440221606
1,2,5.0,5,55,0,0,1,1,0,1,0,0.06861134484692893
1,2,3.0,2,72,0,1,0,1,0,1,0,0.08908402178266121
1,1,5.0,15,51,0,1,0,1,0,0,1,0.08536842296578633
2,1,5.0,5,52,0,0,1,1,0,0,1,0.08091829776737366
1,2,3.0,10,63,0,1,0,1,0,1,0,0.0945056753984358
1,1,5.0,3,47,0,0,1,1,0,0,1,0.09176151674495424
1,1,3.0,2,60,0,1,0,1,0,1,0,0.08547587496354096
2,1,3.0,10,62,0,1,0,1,0,1,0,0.08545637834074522
2,1,4.0,4,54,0,0,1,1,0,1,0,0.08244612784830886
1,1,3.0,7,61,0,0,1,1,0,1,0,0.08543375697094559
1,2,3.0,9,49,0,0,1,1,0,1,0,0.08831626128404267
0,1,5.0,3,85,0,1,0,1,0,0,1,0.09133300136932963
2,1,5.0,9,53,0,1,0,1,0,0,1,0.08241443173257033
1,2,4.0,7,50,0,0,1,1,0,1,0,0.08240015999254176
1,1,3.0,2,48,0,0,1,1,0,1,0,0.08238589392209177
1,1,5.0,17,87,0,0,1,1,0,1,0,0.09873778390010873
1,1,3.0,15,63,0,1,0,1,0,1,0,0.08663567080952174
1,1,4.0,7,87,0,0,1,1,0,0,1,0.0896828016558366
0,1,5.0,7,52,0,0,1,1,0,1,0,0.08079853360491716
1,1,1.0,4,49,0,0,1,1,0,1,0,0.08235424823095099
1,1,4.0,5,52,0,0,1,1,0,0,1,0.08077323006340816
2,1,4.0,8,47,0,0,1,1,0,1,0,0.08978707734443997
1,1,3.0,9,48,0,0,1,1,0,1,0,0.08231888151075266
1,1,5.0,6,48,0,0,1,1,0,1,0,0.08074107436973045
1,1,3.0,7,63,0,0,1,1,0,1,0,0.08535132844323583
0,1,1.0,3,60,0,0,1,1,0,1,0,0.07908539425709922
1,1,5.0,9,47,0,0,1,1,0,0,1,0.08816975593451402
1,1,4.0,6,79,0,1,0,1,0,1,0,0.10502708529351507
0,1,3.0,8,52,0,0,1,1,0,1,0,0.08227840919855375
1,1,5.0,17,49,0,0,1,1,0,1,0,0.0836388590694749
1,2,3.0,11,50,0,1,0,1,0,1,0,0.08226419182715307
1,1,3.0,3,80,0,0,1,1,0,1,0,0.10325461846016244
2,1,2.0,7,49,0,1,0,1,0,1,0,0.08066854187120776
2,1,5.0,2,61,0,0,1,1,0,1,0,0.08529521057490036
0,2,1.0,2,45,0,0,1,1,0,1,0,0.08223265137406942
0,1,5.0,3,52,0,0,1,1,0,1,0,0.08221845160971245
1,4,3.0,3,72,0,1,0,1,0,1,0,0.0947887237365908
1,1,4.0,7,59,0,0,1,1,0,1,0,0.0927114809852242
2,1,5.0,3,60,0,0,1,1,0,0,1,0.0868377822696303
2,1,4.0,3,59,0,1,0,1,0,0,1,0.09426088200431448
1,1,1.0,8,72,0,0,1,1,0,1,0,0.08888175448329343
1,1,3.0,13,71,0,0,1,1,0,1,0,0.09629155561422083
1,1,5.0,2,55,1,0,1,1,0,0,1,0.09264664441897581
2,2,5.0,8,86,0,0,1,1,0,0,1,0.09421556704472538
2,1,5.0,6,44,0,0,1,1,0,0,1,0.08217800213903571
1,1,3.0,4,61,0,1,0,1,0,0,1,0.08537656913089071
2,1,5.0,2,47,1,0,1,1,0,0,1,0.08216070299025738
1,1,3.0,2,80,0,1,0,1,0,1,0,0.0957741922997072
1,1,3.0,7,63,0,1,0,1,0,1,0,0.09286991664011668
2,1,1.0,2,49,0,1,0,1,0,1,0,0.07616033002047705
2,2,5.0,7,58,0,0,1,1,0,0,1,0.08693634336830264
1,1,3.0,6,54,0,1,0,1,0,0,1,0.08691796992900203
1,1,4.0,10,47,0,0,1,1,0,1,0,0.08821490106651488
1,1,3.0,8,65,1,0,1,1,0,0,1,0.0928033772848275
1,1,3.0,6,80,0,0,1,1,0,1,0,0.09572686642530844
1,1,4.0,2,51,0,0,1,1,0,1,0,0.08077525503484195
0,1,3.0,5,71,0,0,1,1,0,1,0,0.0873492416329445
1,1,4.0,2,46,0,1,0,1,0,0,1,0.08982778988062913
1,1,5.0,5,65,0,0,1,1,0,0,1,0.08547928469074474
0,1,1.0,2,57,0,0,1,1,0,1,0,0.08545986123315362
2,1,5.0,7,59,0,1,0,1,0,0,1,0.08056261463209605
1,1,3.0,6,78,0,0,1,1,0,0,1,0.10473149012358646
2,1,1.0,13,59,0,0,1,1,0,1,0,0.08543422108000144
2,1,4.0,9,79,0,0,1,1,0,0,1,0.0941195783399521
2,1,3.0,6,60,0,0,1,1,0,1,0,0.09450500847291528
2,1,2.0,11,81,0,1,0,1,0,1,0,0.09561557831629829
1,1,4.0,7,86,0,0,1,1,0,1,0,0.09713864248462094
1,1,5.0,8,48,0,0,1,1,0,1,0,0.08825002582221315
2,1,4.0,7,56,0,0,1,1,0,0,1,0.10337549900103482
1,2,4.0,2,48,0,0,1,1,0,1,0,0.08221738193959034
1,1,1.0,3,82,0,0,1,1,0,0,1,0.09860226415278373
1,1,5.0,5,47,0,0,1,1,0,1,0,0.09097497657460007
1,1,5.0,5,75,1,1,0,1,0,0,1,0.10494828288055828
1,1,4.0,4,54,0,1,0,1,0,0,1,0.08536458421700865
1,1,5.0,12,51,0,1,0,1,0,1,0,0.0806563793948826
2,1,1.0,3,54,0,1,0,1,0,1,0,0.08217599174755418
2,1,5.0,6,61,0,0,1,1,0,0,1,0.0868643476516985
1,1,1.0,6,68,0,1,0,1,0,0,1,0.0874147634169254
1,1,1.0,5,50,0,0,1,1,0,1,0,0.0882446177136584
1,1,3.0,2,72,0,1,0,1,0,1,0,0.0889193950980056
0,1,3.0,10,48,0,0,1,1,0,1,0,0.08213726586315248
2,1,2.0,3,65,0,0,1,1,0,0,1,0.08682828884313422
1,1,3.0,15,82,0,0,1,1,0,1,0,0.10315091236429373
1,1,5.0,10,68,0,0,1,1,0,1,0,0.08887462770921088
2,1,4.0,3,81,0,0,1,1,0,0,1,0.08945512351028662
2,3,5.0,11,61,1,1,0,1,0,0,1,0.09441802600597067
2,1,3.0,17,74,0,1,0,1,0,1,0,0.09658736841574994
2,1,1.0,3,64,0,0,1,1,0,1,0,0.06832877969499083
2,1,5.0,3,57,0,0,1,1,0,1,0,0.08693770280246012
1,1,4.0,7,50,0,0,1,1,0,1,0,0.08057393849222626
1,1,2.0,2,71,0,0,1,1,0,1,0,0.09654731730588241
1,2,1.0,8,51,0,0,1,1,0,1,0,0.08980158736704942
0,1,5.0,5,89,1,0,1,1,0,0,1,0.08940444077295846
2,1,4.0,9,53,0,0,1,1,0,1,0,0.08978172190466542
1,1,3.0,16,71,0,0,1,1,0,1,0,0.08736462545824182
0,1,5.0,7,54,0,0,1,1,0,0,1,0.09457644804968024
2,2,3.0,18,61,0,0,1,1,0,0,1,0.08692051037045327
1,1,5.0,3,58,0,0,1,1,0,1,0,0.08690219872191422
2,1,4.0,1,60,0,1,0,1,0,1,0,0.08540387670325904
1,1,3.0,7,55,0,0,1,1,0,1,0,0.08209923338836893
1,1,2.0,7,62,0,0,1,1,0,1,0,0.06825228220874677
1,1,3.0,4,83,0,0,1,1,0,1,0,0.09118695330655435
1,1,1.0,9,48,0,1,0,1,0,1,0,0.08207052635538546
1,2,1.0,5,64,0,0,1,1,0,1,0,0.08684061451013199
1,3,1.0,6,47,0,0,1,1,0,0,1,0.08970582082800904
2,1,1.0,5,84,0,0,1,1,0,1,0,0.09878080457606869
2,1,3.0,5,83,0,1,0,1,0,1,0,0.09546257409816221
1,2,4.0,4,60,0,0,1,1,0,0,1,0.08535496772053768
1,1,2.0,13,69,0,1,0,1,0,1,0,0.09494150479448914
1,1,2.0,3,70,1,1,0,1,0,0,1,0.08873469902570102
1,2,2.0,10,46,0,0,1,1,0,1,0,0.08210146387917823
0,1,4.0,7,71,0,0,1,1,0,0,1,0.08897939203209095
0,1,4.0,5,58,0,0,1,1,0,1,0,0.08685591285198607
1,1,4.0,7,69,0,1,0,1,0,0,1,0.08894623035315474
1,1,2.0,6,85,0,0,1,1,0,1,0,0.09113921650569368
1,2,5.0,5,59,0,1,0,1,0,0,1,0.08682307788086052
2,1,5.0,5,58,0,0,1,1,0,0,1,0.09659901002996285
1,1,4.0,6,49,0,0,1,1,0,1,0,0.08056803249923568
